=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.18 17:08:21 =~=~=~=~=~=~=~=~=~=~=~=
Save data: 17-12-2023;1:12:19;22.50;36.00;0;9

Appending to file: /Estacion3_17_12_2023.csv
Message appended
---------------------- Estacion: 1 -- ID: 0
Dormir: 1
415874:  3 - Data: 9B 3B EF 7A 17 EE BB 19 D0 32   RSSI: -109 CRC: ERROR
Dormir: 1
418437:  4 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
Dormir: 1
420444:  0 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -86 CRC: OK
Dormir: 1
422595:  1 - Data: A0 0 D0 4A 2B 0 49 5B FF FF   RSSI: -86 CRC: OK
Dormir: 1
425160:  2 - Data: 80 0 D0 1F BB 0 D1 86 FF FF   RSSI: -85 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:12:33
Estacion ID: 0
Temperatura: 10.39 ºC -- Humedad: 58.00
Dirección del viento: 287 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:12:33;10.39;58.00;0;287

Appending to file: /Estacion1_17_12_2023.csv
Message appended
---------------------- Estacion: 2 -- ID: 1
427795:  3 - Data: F7 EC CA E6 71 D4 2B 5E 86 30   RSSI: -117 CRC: ERROR
Dormir: 1
430297:  4 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -86 CRC: OK
Dormir: 1
432866:  0 - Data: A0 0 D0 4A 2B 0 49 5B FF FF   RSSI: -85 CRC: OK
Dormir: 1
435435:  1 - Data: 80 0 D0 1F CB 0 D9 DF FF FF   RSSI: -84 CRC: OK
Dormir: 1
438004:  2 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -84 CRC: OK
439290:  2 - Data: 91 0 0 0 5 0 74 F1 FF FF   RSSI: -77 CRC: OK
Dormir: 1
441297:  3 - Data: 50 0 D0 FF 73 0 4A FE FF FF   RSSI: -84 CRC: OK
441921:  3 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -76 CRC: OK
Dormir: 1
443928:  4 - Data: 60 0 D0 0 C3 0 B4 1C FF FF   RSSI: -84 CRC: OK
444552:  4 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -76 CRC: OK
Dormir: 1
446559:  0 - Data: 80 0 D0 1F BB 0 D1 86 FF FF   RSSI: -85 CRC: OK
447182:  0 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -76 CRC: OK
Dormir: 1
449189:  1 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -84 CRC: OK
449814:  1 - Data: A1 0 0 CC 1D 0 82 31 FF FF   RSSI: -76 CRC: OK
Dormir: 1
17/12/2023     Hora: 1:12:58
Estacion ID: 1
Temperatura: 17.83 ºC -- Humedad: 46.00
Dirección del viento: 9 -- Velocidad: 0
Todos los datos leidos
Save data: 17-12-2023;1:12:58;17.83;46.00;0;9

Appending to file: /Estacion2_17_12_2023.csv
Message appended
---------------------- Estacion: 3 -- ID: 4
452450:  2 - Data: F1 1E F5 A8 1D EE 57 96 E5 62   RSSI: -103 CRC: ERROR
Dormir: 1
454679:  3 - Data: 40 0 D0 0 3 0 97 40 FF FF   RSSI: -85 CRC: OK
455075:  3 - Data: E1 0 0 80 5 0 A 37 FF FF   RSSI: -76 CRC: OK
Dormir: 1
457492:  4 - Data: 80 0 D0 1F BB 0 D1 86 FF FF   RSSI: -85 CRC: OK
457706:  4 - Data: 51 0 0 FF 75 0 D FB FF FF   RSSI: -76 CRC: OK
Dormir: 1
460305:  0 - Data: E0 0 D0 80 3 0 4D 32 FF FF   RSSI: -85 CRC: OK
460338:  0 - Data: A1 0 0 CC 1D 0 82 31 FF FF   RSSI: -79 CRC: OK
Dormir: 1
463118:  1 - Data: 81 0 0 28 1D 0 CB C8 FF FF   RSSI: -76 CRC: OK
