fecha;hora;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;fecha_hora;diferencia;diferencia_abs;diferencia_segundos;num_punto
2023-12-14;01:32:38;0;0.0;0.0;0.0;E2_P1;2023-12-14 01:32:38;0 days 00:01:30;0 days 00:01:30;90.0;0
2023-12-14;01:33:00;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:33:00;0 days 00:00:22;0 days 00:00:22;22.0;0
2023-12-14;01:33:19;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:33:19;0 days 00:00:19;0 days 00:00:19;19.0;0
2023-12-14;01:33:57;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:33:57;0 days 00:00:38;0 days 00:00:38;38.0;0
2023-12-14;01:34:11;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:34:11;0 days 00:00:14;0 days 00:00:14;14.0;0
2023-12-14;01:34:53;19,83;61.0;0.0;9.0;E2_P2;2023-12-14 01:34:53;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;01:35:54;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:35:54;0 days 00:01:01;0 days 00:01:01;61.0;0
2023-12-14;01:36:57;19,85;61.0;0.0;9.0;E2_P2;2023-12-14 01:36:57;0 days 00:01:03;0 days 00:01:03;63.0;0
2023-12-14;01:37:39;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:37:39;0 days 00:00:42;0 days 00:00:42;42.0;0
2023-12-14;01:38:38;19,87;61.0;0.0;9.0;E2_P2;2023-12-14 01:38:38;0 days 00:00:59;0 days 00:00:59;59.0;0
2023-12-14;01:40:08;19,83;0.0;0.0;9.0;E2_P1;2023-12-14 01:40:08;0 days 00:01:30;0 days 00:01:30;90.0;0
2023-12-14;01:40:30;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:40:30;0 days 00:00:22;0 days 00:00:22;22.0;0
2023-12-14;01:41:09;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:41:09;0 days 00:00:39;0 days 00:00:39;39.0;0
2023-12-14;01:41:30;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:41:30;0 days 00:00:21;0 days 00:00:21;21.0;0
2023-12-14;01:42:04;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:42:04;0 days 00:00:34;0 days 00:00:34;34.0;0
2023-12-14;01:42:34;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:42:34;0 days 00:00:30;0 days 00:00:30;30.0;0
2023-12-14;01:42:56;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:42:56;0 days 00:00:22;0 days 00:00:22;22.0;0
2023-12-14;01:43:30;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:43:30;0 days 00:00:34;0 days 00:00:34;34.0;0
2023-12-14;01:43:46;19,83;61.0;0.0;9.0;E2_P1;2023-12-14 01:43:46;0 days 00:00:16;0 days 00:00:16;16.0;0
2023-12-14;01:44:15;19,89;61.0;0.0;9.0;E2_P2;2023-12-14 01:44:15;0 days 00:00:29;0 days 00:00:29;29.0;0
